,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,limit_type,pro,buy_rate
637,603920.SH,世运电路,3,20190813,17.34,17.34,16.78,17.34,15.76,1.58,10.0254,640405,1105206.46,元器件,分歧板,-7.39,3.81
642,002201.SZ,九鼎新材,5,20190821,20.25,22.23,20.1,22.23,20.21,2.02,9.9951,483538,1046379.066,玻璃,一般板,7.21,5.08
645,000056.SZ,皇庭国际,4,20190826,5.08,5.69,4.99,5.69,5.17,0.52,10.058,844593,462723.239,房产服务,一般板,-2.28,-6.15
649,002417.SZ,深南股份,6,20190905,10.88,10.99,10.38,10.99,9.99,1.0,10.01,572856,621942.067,软件服务,一般板,-0.61,4.64
651,002134.SZ,天津普林,5,20190910,12.9,12.9,12.71,12.9,11.73,1.17,9.9744,176856,227980.234,元器件,一般板,-16.42,5.35
653,300270.SZ,中威电子,4,20190912,11.29,12.07,11.11,12.07,10.97,1.1,10.0273,501087,596275.135,通信设备,一般板,-13.54,3.56
654,300480.SZ,光力科技,3,20190916,19.99,21.13,19.61,21.13,19.21,1.92,9.9948,84265,172345.65399999998,专用机械,一般板,-17.79,4.12
655,002819.SZ,东方中科,3,20190917,26.5,27.13,25.9,27.13,24.66,2.47,10.0162,165841,447285.508,电器仪表,分歧板,27.44,5.05
657,002819.SZ,东方中科,5,20190919,28.61,32.82,27.91,32.82,29.84,2.98,9.9866,259548,770863.55,电器仪表,一般板,5.39,4.66
660,002552.SZ,宝鼎科技,6,20190925,15.33,15.33,15.33,15.33,13.94,1.39,9.9713,8852,13570.146,机械基件,一般板,-4.39,3.72
676,300089.SZ,文化长城,6,20191031,5.35,5.95,5.0,5.95,5.41,0.54,9.9815,1032141,570167.779,文教休闲,一般板,-3.06,-7.56
681,002552.SZ,宝鼎科技,5,20191115,27.0,29.15,25.36,29.15,26.5,2.65,10.0,423721,1171029.586,机械基件,一般板,-12.13,3.67
685,000835.SZ,*ST长动,3,20191121,4.02,4.38,3.76,4.38,3.98,0.4,10.0503,489897,200781.887,影视音像,一般板,1.61,3.88
690,600243.SH,*ST海华,3,20191129,5.08,5.2,4.86,5.2,4.73,0.47,9.9366,478358,243498.887,机床制造,分歧板,-3.06,5.58
694,300643.SZ,万通智控,5,20191205,16.94,17.17,16.51,17.17,15.61,1.56,9.9936,141008,238763.992,汽车配件,一般板,3.24,4.83
695,300643.SZ,万通智控,6,20191206,18.0,18.89,17.21,18.89,17.17,1.72,10.0175,472022,866905.9959999999,汽车配件,分歧板,-5.65,3.39
705,300707.SZ,威唐工业,6,20191227,20.7,21.29,20.26,21.29,19.35,1.94,10.0258,305027,640876.874,专用机械,一般板,-9.07,-6.06
706,603598.SH,引力传媒,5,20191230,15.48,15.69,14.52,15.69,14.26,1.43,10.0281,468944,725200.455,影视音像,分歧板,39.24,-10.01
712,002837.SZ,英维克,4,20200116,26.1,27.83,26.1,27.83,25.3,2.53,10.0,133054,361894.63399999996,专用机械,一般板,-0.32,4.2
715,000700.SZ,模塑科技,7,20200123,11.0,12.29,10.7,12.29,11.17,1.12,10.0269,1782108,2108341.988,汽车配件,一般板,33.97,-8.87
716,600513.SH,联环药业,6,20200203,14.69,14.69,14.69,14.69,13.35,1.34,10.0375,45294,66538.193,化学制药,加速板,34.61,4.02
717,600513.SH,联环药业,7,20200204,15.28,16.16,14.98,16.16,14.69,1.47,10.0068,617594,975687.79,化学制药,分歧板,21.37,4.7
720,600513.SH,联环药业,10,20200207,21.52,21.52,20.5,21.52,19.56,1.96,10.0204,553948,1186895.502,化学制药,分歧板,-10.69,3.86
721,300051.SZ,三五互联,8,20200210,13.63,13.63,13.01,13.63,12.39,1.24,10.0081,1057719,1439839.284,互联网,分歧板,0.75,4.04
727,002613.SZ,北玻股份,6,20200219,4.62,4.62,4.62,4.62,4.2,0.42,10.0,93242,43078.172999999995,专用机械,一般板,5.17,5.63
729,300102.SZ,乾照光电,6,20200221,8.02,8.02,8.02,8.02,7.29,0.73,10.0137,69507,55744.982,半导体,加速板,3.91,-6.36
730,002062.SZ,宏润建设,8,20200306,7.05,7.3,7.03,7.3,6.64,0.66,9.9398,2875267,2086965.084,建筑工程,分歧板,-8.25,-10.0
735,002953.SZ,日丰股份,6,20200320,47.82,47.82,45.47,47.82,43.47,4.35,10.0069,92903,443690.278,电气设备,分歧板,-9.68,3.51
742,600268.SH,国电南自,5,20200420,9.6,10.27,9.33,10.27,9.34,0.93,9.9572,1617937,1604115.0669999998,电气设备,一般板,14.78,5.06
744,600268.SH,国电南自,7,20200422,11.0,12.43,10.81,12.43,11.3,1.13,10.0,1410827,1685216.1530000002,电气设备,一般板,-8.66,4.51
746,000019.SZ,深粮控股,5,20200424,11.33,11.73,10.88,11.73,10.66,1.07,10.0375,1452403,1657649.5780000002,其他商业,分歧板,-13.57,-6.39
750,002046.SZ,国机精工,6,20200513,9.38,9.87,9.33,9.87,8.97,0.9,10.0334,606043,586923.958,机械基件,一般板,2.07,4.26
758,000551.SZ,创元科技,4,20200525,10.5,10.99,10.2,10.99,9.99,1.0,10.01,594648,641025.585,专用机械,一般板,10.12,3.91
762,603353.SH,和顺石油,4,20200609,45.27,45.27,42.5,45.27,41.15,4.12,10.0122,131647,583277.186,石油贸易,分歧板,-6.09,3.89
764,002612.SZ,朗姿股份,4,20200611,11.97,12.2,11.97,12.2,11.09,1.11,10.009,130879,158806.017,服饰,一般板,7.97,-7.46
770,002909.SZ,集泰股份,3,20200622,10.72,11.3,10.72,11.3,10.27,1.03,10.0292,119701,134151.101,化工原料,一般板,-20.09,3.54
774,300612.SZ,宣亚国际,4,20200630,27.0,30.11,26.2,30.11,27.37,2.74,10.011000000000001,114035,331611.291,广告包装,一般板,3.13,4.92
776,300464.SZ,星徽精密,9,20200708,23.33,23.33,22.2,23.33,21.21,2.12,9.9953,171004,397055.196,机械基件,一般板,0.19,4.97
778,000698.SZ,沈阳化工,8,20200713,6.61,6.61,6.4,6.61,6.01,0.6,9.9834,584738,386162.69700000004,化工原料,一般板,13.61,4.08
784,000421.SZ,南京公用,6,20200721,8.15,8.15,7.5,8.15,7.41,0.74,9.9865,1142225,909740.5240000001,供气供热,分歧板,10.33,-9.94
798,002417.SZ,深南股份,4,20200811,10.33,11.36,10.05,11.36,10.33,1.03,9.971,516079,569820.243,软件服务,一般板,-3.69,4.67
800,002506.SZ,协鑫集成,4,20200813,5.5,5.73,5.49,5.73,5.21,0.52,9.9808,3875052,2179754.366,电气设备,一般板,-22.68,4.36
