,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,limit_type,pro,buy_rate
441,300312.SZ,邦讯技术,4,20180703,9.66,9.66,9.66,9.66,8.78,0.88,10.02,72471,70007.411,通信设备,加速板,-4.52,3.52
442,300312.SZ,邦讯技术,5,20180704,10.0,10.63,9.86,10.63,9.66,0.97,10.04,517564,533334.507,通信设备,分歧板,-14.44,-5.46
444,603045.SH,福达合金,4,20180709,73.47,73.47,73.47,73.47,66.79,6.68,10.0,2428,17844.394,电气设备,加速板,-7.43,8.89
445,603045.SH,福达合金,5,20180710,80.0,80.82,78.5,80.82,73.47,7.35,10.0,95129,764751.069,电气设备,分歧板,-17.44,-3.49
450,002243.SZ,通产丽星,6,20180719,8.8,9.45,8.29,9.45,8.59,0.86,10.01,632948,563802.81,塑料,分歧板,11.93,-5.4
451,300586.SZ,美联新材,3,20180720,20.2,20.98,20.1,20.98,19.07,1.91,10.0157,161316,334299.271,化工原料,分歧板,-18.27,4.86
453,002628.SZ,成都路桥,4,20180724,6.0,6.0,6.0,6.0,5.45,0.55,10.0917,48696,29217.75,建筑工程,加速板,,
456,000509.SZ,*ST华塑,4,20180730,3.62,3.62,3.51,3.62,3.29,0.33,10.0304,996421,359969.276,医疗保健,分歧板,-1.28,-6.35
457,300240.SZ,飞力达,3,20180803,8.46,8.46,7.95,8.46,7.69,0.77,10.013,331003,275633.365,仓储物流,分歧板,-6.35,0.59
458,002700.SZ,ST浩源,3,20180806,9.06,9.75,8.7,9.75,8.86,0.89,10.0451,358261,339774.471,供气供热,分歧板,20.3,-5.64
462,300392.SZ,腾信股份,5,20180813,9.71,9.89,9.35,9.89,8.99,0.9,10.0111,433455,423151.51,互联网,分歧板,-9.85,-0.81
472,000669.SZ,*ST金鸿,3,20180903,5.49,5.71,5.33,5.71,5.19,0.52,10.0193,618344,348367.66799999995,供气供热,分歧板,8.25,3.85
474,300411.SZ,金盾股份,4,20180906,9.56,9.94,9.35,9.94,9.04,0.9,9.9558,432939,421732.24700000003,专用机械,分歧板,2.62,1.11
478,002692.SZ,ST远程,4,20180912,4.49,4.83,4.17,4.83,4.39,0.44,10.0228,659207,305414.779,电气设备,分歧板,-0.94,-2.48
